epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,1429.64,0.72622,0.82218,1.06378,0.97418,0.98667,0.99421,0.84301,0.60133,0.89451,0.95373,0.000614,0.000614,0.000614
37,1483,0.6835,0.80893,1.05941,0.96137,0.9954,0.99356,0.85779,0.5829,0.90362,0.94385,0.0005744,0.0005744,0.0005744
38,1534.29,0.72906,0.79937,1.08269,0.97193,1,0.99278,0.87365,0.54513,0.82587,0.91412,0.0005348,0.0005348,0.0005348
39,1585.64,0.72887,0.81448,1.07721,0.97092,1,0.99302,0.89145,0.52045,0.7945,0.89499,0.0004952,0.0004952,0.0004952
40,1637.27,0.69767,0.78381,1.05214,0.9721,1,0.99394,0.89598,0.51236,0.76269,0.89075,0.0004556,0.0004556,0.0004556
41,1687.32,0.56263,0.99405,0.96323,0.98561,1,0.99421,0.87254,0.52627,0.74905,0.89692,0.000416,0.000416,0.000416
42,1739.07,0.59003,0.92068,0.96956,1,0.99949,0.995,0.87405,0.54239,0.77905,0.91044,0.0003764,0.0003764,0.0003764
43,1790.01,0.53525,0.8604,0.9148,0.99888,1,0.995,0.88641,0.51037,0.78039,0.89074,0.0003368,0.0003368,0.0003368
44,1839.19,0.50423,0.81711,0.94979,0.99868,1,0.995,0.8943,0.48183,0.79023,0.87181,0.0002972,0.0002972,0.0002972
45,1890.52,0.51542,0.82106,0.94347,0.99865,1,0.995,0.9045,0.46407,0.79433,0.85966,0.0002576,0.0002576,0.0002576
46,1941.01,0.53981,0.82804,1.00198,0.99873,1,0.995,0.90395,0.45645,0.75661,0.85557,0.000218,0.000218,0.000218
47,1988.17,0.49701,0.84082,0.91402,0.99884,1,0.995,0.90024,0.45748,0.73502,0.85685,0.0001784,0.0001784,0.0001784
48,2029.93,0.50815,0.80136,0.92973,0.9989,1,0.995,0.90478,0.45444,0.70751,0.85366,0.0001388,0.0001388,0.0001388
49,2077.86,0.51125,0.8021,0.94063,0.99877,1,0.995,0.91105,0.44738,0.69068,0.84788,9.92e-05,9.92e-05,9.92e-05
50,2130,0.53459,0.84593,0.99734,0.99843,1,0.995,0.91794,0.43244,0.67194,0.83949,5.96e-05,5.96e-05,5.96e-05
